element,amzn
https://www.lanacion.com.ar,no
https://www.wetteronline.de,yes
https://www.independent.co.uk,no
https://www.bbcgoodfood.com,no
https://news.livedoor.com,yes
https://www.kongregate.com,no
https://www.mirror.co.uk,yes
https://mundohispanico.com,yes
https://www.gutefrage.net,no
https://news.tut.by,no
https://www.navitime.co.jp,no
https://www.standard.co.uk,no
https://www.zerohedge.com,yes
https://lady.tut.by,no
https://www.manchestereveningnews.co.uk,yes
https://finance.tut.by,no
https://www.hotnewhiphop.com,no
https://auto.tut.by,no
https://www.finanzfrage.net,no
https://www.liverpoolecho.co.uk,yes
https://www.sankei.com,yes
https://www.football.london,yes
https://www.pcwelt.de,no
https://dailyvoice.com,no
https://realty.tut.by,no
https://www.oslobodjenje.ba,no
https://www.hashtagchatter.com,no
https://es.wallapop.com,yes
https://www.superbru.com,no
https://www.chroniclelive.co.uk,yes
https://exceljet.net,yes
http://www.startribune.com,no
https://www.walesonline.co.uk,yes
https://www.arcamax.com,no
https://nauka.rocks,no
https://www.dailyrecord.co.uk,yes
https://www.meinestadt.de,no
https://www.dailystar.co.uk,yes
https://www.reuters.com,no
https://jobs.meinestadt.de,no
http://mortgageafterlife.com,yes
https://www.seattletimes.com,no
https://news.nifty.com,yes
https://www.yapo.cl,no
https://www.windfinder.com,yes
https://42.tut.by,no
https://m.maariv.co.il,no
https://www.frag-mutti.de,no
https://www.birminghammail.co.uk,yes
https://quizberries.com,no
https://www.dummies.com,no
https://macaro-ni.jp,no
https://jp.reuters.com,no
https://m.yapo.cl,no
https://www.nifty.com,yes
https://m.arcamax.com,yes
https://game.nifty.com,no
https://www.wrestlinginc.com,yes
https://www.goodtoknow.co.uk,no
https://uberhumor.com,yes
https://www.gazettelive.co.uk,yes
https://www.superhaber.tv,no
https://www.bristolpost.co.uk,yes
https://www.hulldailymail.co.uk,yes
https://www.olivemagazine.com,no
https://branchenbuch.meinestadt.de,no
https://afisha.tut.by,no
https://www.yesasia.ru,no
https://www.denverpost.com,yes
https://sport.tut.by,no
https://www.historyextra.com,no
https://geissblog.koeln,no
https://www.nottinghampost.com,yes
http://www.kongregate.com,no
https://intellitest.me,no
http://www.justjared.com,yes
https://www.stokesentinel.co.uk,yes
https://immobilien.meinestadt.de,no
https://www.travelsupermarket.com,no
https://trinixy.ru,no
https://thumpertalk.com,yes
https://www.ancient.eu,no
https://www.twincities.com,yes
